relative_path,profile_index,profile_date,prediction_date,time_difference_days,latitude,longitude,data_mode,depth_metres_prototype,argo_temperature_c,oceanembed_temperature_c
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,100.0,19.483703251406762,22.473844017028824
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,125.0,17.18335353772133,19.431176042175302
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,150.0,15.211093737532634,17.42262655792237
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,200.0,13.149705550249886,14.655076280212405
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,300.0,11.63950230507974,12.568098391723638
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,500.0,10.075623897968338,10.24443157806397
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,700.0,8.771192867884386,8.936530981445317
csio/2902766/profiles/D2902766_165.nc,0,2024-06-29,2024-06-29,0,16.206,88.775,D,1000.0,7.03525464975561,7.342438461303715
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,5.0,30.461000442504883,30.40407643127441
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,10.0,30.457103598443876,30.315166107177735
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,20.0,30.436719855575575,30.137344818115235
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,30.0,30.421367801156244,29.959524169921874
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,50.0,29.58401077421592,29.24476420593262
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,75.0,27.546842159738468,27.42777708435058
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,100.0,21.75689067824497,24.046584320068355
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,125.0,19.774701371750183,20.48357249450683
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,150.0,18.94772627993808,17.793649932861328
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,200.0,16.312035073977835,14.241181838989258
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,300.0,11.965322270957007,11.863356170654297
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,500.0,10.093553795369097,9.46740301513672
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,700.0,8.499975550059865,8.126874618530273
csio/2902768/profiles/D2902768_159.nc,0,2024-06-13,2024-06-13,0,12.75,81.666,D,1000.0,6.49896409074556,6.494173568725587
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,5.0,30.304923134301404,30.197859168365472
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,10.0,30.295320118788243,30.108366315368652
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,20.0,30.199750167727466,29.929380737335205
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,30.0,29.65156379490966,29.747220171997068
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,50.0,28.26059140805546,29.06872803195191
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,75.0,26.272567327541765,27.409885114196786
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,100.0,21.615445952529946,24.495959572662365
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,125.0,19.95427759014046,20.91769305010988
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,150.0,19.055257972878074,17.909317947570813
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,200.0,16.123999792734754,13.973190453033453
csio/2902768/profiles/D2902768_160.nc,0,2024-06-23,2024-06-23,0,13.651,81.757,D,300.0,12.313869846001158,11.317179293762209
